broad_code,broad_name,narrow_code,narrow_name,detailed_code,detailed_name
00,Generic programmes and qualifications,001,Basic programmes and qualifications,0011,Basic programmes and qualifications
00,Generic programmes and qualifications,002,Literacy and numeracy,0021,Literacy and numeracy
00,Generic programmes and qualifications,003,Personal skills and development,0031,Personal skills and development
01,Education,011,Education,0111,Education science
01,Education,011,Education,0112,Training for pre-school teachers
01,Education,011,Education,0113,Teacher training without subject specialisation
01,Education,011,Education,0114,Teacher training with subject specialisation
02,Arts and humanities,021,Arts,0211,Audio-visual techniques and media production
02,Arts and humanities,021,Arts,0212,"Fashion, interior and industrial design"
02,Arts and humanities,021,Arts,0213,Fine arts
02,Arts and humanities,021,Arts,0214,Handicrafts
02,Arts and humanities,021,Arts,0215,Music and performing arts
02,Arts and humanities,022,Humanities (except languages),0221,Religion and theology
02,Arts and humanities,022,Humanities (except languages),0222,History and archaeology
02,Arts and humanities,022,Humanities (except languages),0223,Philosophy and ethics
02,Arts and humanities,023,Languages,0231,Language acquisition
02,Arts and humanities,023,Languages,0232,Literature and linguistics
03,"Social sciences, journalism and information",031,Social and behavioural sciences,0311,Economics
03,"Social sciences, journalism and information",031,Social and behavioural sciences,0312,Political sciences and civics
03,"Social sciences, journalism and information",031,Social and behavioural sciences,0313,Psychology
03,"Social sciences, journalism and information",031,Social and behavioural sciences,0314,Sociology and cultural studies
03,"Social sciences, journalism and information",032,Journalism and information,0321,Journalism and reporting
03,"Social sciences, journalism and information",032,Journalism and information,0322,"Library, information and archival studies"
04,"Business, administration and law",041,Business and administration,0411,Accounting and taxation
04,"Business, administration and law",041,Business and administration,0412,"Finance, banking and insurance"
04,"Business, administration and law",041,Business and administration,0413,Management and administration
04,"Business, administration and law",041,Business and administration,0414,Marketing and advertising
04,"Business, administration and law",041,Business and administration,0415,Secretarial and office work
04,"Business, administration and law",041,Business and administration,0416,Wholesale and retail sales
04,"Business, administration and law",041,Business and administration,0417,Work skills
04,"Business, administration and law",042,Law,0421,Law
05,"Natural sciences, mathematics and statistics",051,Biological and related sciences,0511,Biology
05,"Natural sciences, mathematics and statistics",051,Biological and related sciences,0512,Biochemistry
05,"Natural sciences, mathematics and statistics",052,Environment,0521,Environmental sciences
05,"Natural sciences, mathematics and statistics",052,Environment,0522,Natural environments and wildlife
05,"Natural sciences, mathematics and statistics",053,Physical sciences,0531,Chemistry
05,"Natural sciences, mathematics and statistics",053,Physical sciences,0532,Earth sciences
05,"Natural sciences, mathematics and statistics",053,Physical sciences,0533,Physics
05,"Natural sciences, mathematics and statistics",054,Mathematics and statistics,0541,Mathematics
05,"Natural sciences, mathematics and statistics",054,Mathematics and statistics,0542,Statistics
06,Information and Communication Technologies (ICTs),061,Information and Communication Technologies (ICTs),0611,Computer use
06,Information and Communication Technologies (ICTs),061,Information and Communication Technologies (ICTs),0612,Database and network design and administration
06,Information and Communication Technologies (ICTs),061,Information and Communication Technologies (ICTs),0613,Software and applications development and analysis
07,"Engineering, manufacturing and construction",071,Engineering and engineering trades,0711,Chemical engineering and processes
07,"Engineering, manufacturing and construction",071,Engineering and engineering trades,0712,Environmental protection technology
07,"Engineering, manufacturing and construction",071,Engineering and engineering trades,0713,Electricity and energy
07,"Engineering, manufacturing and construction",071,Engineering and engineering trades,0714,Electronics and automation
07,"Engineering, manufacturing and construction",071,Engineering and engineering trades,0715,Mechanics and metal trades
07,"Engineering, manufacturing and construction",071,Engineering and engineering trades,0716,"Motor vehicles, ships and aircraft"
07,"Engineering, manufacturing and construction",072,Manufacturing and processing,0721,Food processing
07,"Engineering, manufacturing and construction",072,Manufacturing and processing,0722,"Materials (glass, paper, plastic and wood)"
07,"Engineering, manufacturing and construction",072,Manufacturing and processing,0723,"Textiles (clothes, footwear and leather)"
07,"Engineering, manufacturing and construction",072,Manufacturing and processing,0724,Mining and extraction
07,"Engineering, manufacturing and construction",073,Architecture and construction,0731,Architecture and town planning
07,"Engineering, manufacturing and construction",073,Architecture and construction,0732,Building and civil engineering
08,"Agriculture, forestry, fisheries and veterinary",081,Agriculture,0811,Crop and livestock production
08,"Agriculture, forestry, fisheries and veterinary",081,Agriculture,0812,Horticulture
08,"Agriculture, forestry, fisheries and veterinary",082,Forestry,0821,Forestry
08,"Agriculture, forestry, fisheries and veterinary",083,Fisheries,0831,Fisheries
08,"Agriculture, forestry, fisheries and veterinary",084,Veterinary,0841,Veterinary
09,Health and welfare,091,Health,0911,Dental studies
09,Health and welfare,091,Health,0912,Medicine
09,Health and welfare,091,Health,0913,Nursing and midwifery
09,Health and welfare,091,Health,0914,Medical diagnostic and treatment technology
09,Health and welfare,091,Health,0915,Therapy and rehabilitation
09,Health and welfare,091,Health,0916,Pharmacy
09,Health and welfare,091,Health,0917,Traditional and complementary medicine and therapy
09,Health and welfare,092,Welfare,0921,Care of the elderly and of disabled adults
09,Health and welfare,092,Welfare,0922,Child care and youth services
09,Health and welfare,092,Welfare,0923,Social work and counselling
10,Services,101,Personal services,1011,Domestic services
10,Services,101,Personal services,1012,Hair and beauty services
10,Services,101,Personal services,1013,"Hotel, restaurants and catering"
10,Services,101,Personal services,1014,Sports
10,Services,101,Personal services,1015,"Travel, tourism and leisure"
10,Services,102,Hygiene and occupational health services,1021,Community sanitation
10,Services,102,Hygiene and occupational health services,1022,Occupational health and safety
10,Services,103,Security services,1031,Military and defence
10,Services,103,Security services,1032,Protection of persons and property
10,Services,104,Transport services,1041,Transport services
