original,processed
ACCOUNTANT,accountant
ADVOCATE,advocate
AGRICULTURE,agriculture
APPAREL,apparel
ARTS,arts
AUTOMOBILE,automobile
AVIATION,aviation
BANKING,banking
BPO,business process outsourcing
BUSINESS-DEVELOPMENT,business development
CHEF,chef
CONSTRUCTION,construction
CONSULTANT,consultant
DESIGNER,designer
DIGITAL-MEDIA,digital media
ENGINEERING,engineering
FINANCE,finance
FITNESS,fitness
HEALTHCARE,healthcare
HR,human resources
INFORMATION-TECHNOLOGY,information technology
PUBLIC-RELATIONS,public relations
SALES,sales
TEACHER,teacher
ARMY,army
